Sample_ID;Upper_Depth_cm;Lower_Depth_cm;Reference;Plot;pH_H2O;pH_KCl;Electrical_Conductivity_mS_cm;Organic_Carbon_pct;Organic_Matter_pct;Bulk_Density_g_cm3;CN_Ratio;Kjeldahl_Nitrogen_mg_kg;Nitrate_Nitrogen_mg_kg;Ammonium_Nitrogen_mg_kg;Nitrogen_pct;Total_Nitrogen_mg_kg;Phosphorus_mg_kg;Potassium_meq_100g;Calcium_meq_100g;Magnesium_meq_100g;Sodium_meq_100g;Boron_mg_kg;Iron_mg_kg;Copper_mg_kg;Zinc_mg_kg;Manganese_mg_kg;Carbonates_pct;CEC_meq_100g;Active_Lime_pct;Clay_pct;Silt_pct;Sand_pct;Gravel_pct;USDA_Classification;CaMg_Ratio;KMg_Ratio;CaK_Ratio;Longitude_EPSG4326;Latitude_EPSG4326
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.28;;1.279922583;;;;;;;;;;;;;;;;;;;;;;;1.5;;;;;-4.939963;37.336247
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.46;;1.22287868;;;;;;;;;;;;;;;;;;;;;;;6.3;;;;;-4.939972;37.336431
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.37;;1.325201182;;;;;;;;;;;;;;;;;;;;;;;5.1;;;;;-4.940156;37.336429
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.26;;1.061016604;;;;;;;;;;;;;;;;;;;;;;;5.1;;;;;-4.940368;37.336129
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.43;;1.060660079;;;;;;;;;;;;;;;;;;;;;;;1.6;;;;;-4.940278;37.336262
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.44;;1.262198228;;;;;;;;;;;;;;;;;;;;;;;7.9;;;;;-4.940001;37.336262
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.3;;1.095650402;;;;;;;;;;;;;;;;;;;;;;;18.4;;;;;-4.94001;37.336446
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.54;;1.190333096;;;;;;;;;;;;;;;;;;;;;;;3.9;;;;;-4.940194;37.336444
NA_CHACÓN;0;15;;Chacón;;;;2.27;;1.37567485;;;;;;;;;;;;;;;;;;;;;;;19.9;;;;;-4.78234;37.244434
NA_CHACÓN;0;15;;Chacón;;;;2.01;;1.375165529;;;;;;;;;;;;;;;;;;;;;;;17;;;;;-4.782392;37.244222
NA_CHACÓN;0;15;;Chacón;;;;1.67;;1.3125191;;;;;;;;;;;;;;;;;;;;;;;18.4;;;;;-4.782042;37.244077
NA_CHACÓN;0;15;;Chacón;;;;1.46;;1.574309871;;;;;;;;;;;;;;;;;;;;;;;1.8;;;;;-4.781702;37.243915
NA_CHACÓN;0;15;;Chacón;;;;1.93;;1.589589488;;;;;;;;;;;;;;;;;;;;;;;25.5;;;;;-4.781361;37.24375
NA_CHACÓN;0;15;;Chacón;;;;1.47;;1.34002241;;;;;;;;;;;;;;;;;;;;;;;27;;;;;-4.782332;37.24446
NA_CHACÓN;0;15;;Chacón;;;;1.48;;1.464805949;;;;;;;;;;;;;;;;;;;;;;;17.8;;;;;-4.782384;37.244248
NA_CHACÓN;0;15;;Chacón;;;;1.38;;1.469389834;;;;;;;;;;;;;;;;;;;;;;;15.5;;;;;-4.782034;37.244103
NA_CHACÓN;0;15;;Chacón;;;;1.55;;1.554446369;;;;;;;;;;;;;;;;;;;;;;;10.9;;;;;-4.781694;37.243941
NA_CHACÓN;0;15;;Chacón;;;;1.55;;1.398084955;;;;;;;;;;;;;;;;;;;;;;;17.2;;;;;-4.781353;37.243776
NA_CHACÓN;0;15;;Chacón;;;;1.83;;1.239176938;;;;;;;;;;;;;;;;;;;;;;;27.6;;;;;-4.782357;37.244479
NA_CHACÓN;0;15;;Chacón;;;;2.57;;1.135275542;;;;;;;;;;;;;;;;;;;;;;;18.4;;;;;-4.782409;37.244267
NA_CHACÓN;0;15;;Chacón;;;;2.9;;0.923398187;;;;;;;;;;;;;;;;;;;;;;;12.7;;;;;-4.782059;37.244122
NA_CHACÓN;0;15;;Chacón;;;;2.11;;1.37618417;;;;;;;;;;;;;;;;;;;;;;;1.8;;;;;-4.781719;37.24396
NA_CHACÓN;0;15;;Chacón;;;;2.68;;1.224406642;;;;;;;;;;;;;;;;;;;;;;;14.5;;;;;-4.781378;37.243795
NA_CIEN_DÍAS;0;15;;Cien Días;;;;3.37;;1.260262809;;;;;;;;;;;;;;;;;;;;;;;10.7;;;;;-4.825221;37.295723
NA_CIEN_DÍAS;0;15;;Cien Días;;;;2.71;;1.31847815;;;;;;;;;;;;;;;;;;;;;;;16.3;;;;;-4.824937;37.295642
NA_CIEN_DÍAS;0;15;;Cien Días;;;;1.76;;1.295049404;;;;;;;;;;;;;;;;;;;;;;;4.3;;;;;-4.824842;37.295443
NA_CIEN_DÍAS;0;15;;Cien Días;;;;2.07;;1.263115005;;;;;;;;;;;;;;;;;;;;;;;9.4;;;;;-4.824899;37.295181
NA_CIEN_DÍAS;0;15;;Cien Días;;;;2.13;;1.293877967;;;;;;;;;;;;;;;;;;;;;;;6.2;;;;;-4.825281;37.295248
NA_CIEN_DÍAS;0;15;;Cien Días;;;;1.77;;1.315269431;;;;;;;;;;;;;;;;;;;;;;;24.2;;;;;-4.82524;37.295719
NA_CIEN_DÍAS;0;15;;Cien Días;;;;1.8;;1.362992768;;;;;;;;;;;;;;;;;;;;;;;26.4;;;;;-4.824956;37.295638
NA_CIEN_DÍAS;0;15;;Cien Días;;;;1.7;;1.193134359;;;;;;;;;;;;;;;;;;;;;;;14.7;;;;;-4.824861;37.295439
NA_CIEN_DÍAS;0;15;;Cien Días;;;;1.64;;1.339207497;;;;;;;;;;;;;;;;;;;;;;;8.3;;;;;-4.824918;37.295177
NA_CIEN_DÍAS;0;15;;Cien Días;;;;1.65;;1.330039727;;;;;;;;;;;;;;;;;;;;;;;10.3;;;;;-4.8253;37.295244
NA_CIEN_DÍAS;0;15;;Cien Días;;;;1.99;;1.093052867;;;;;;;;;;;;;;;;;;;;;;;20.2;;;;;-4.825251;37.295734
NA_CIEN_DÍAS;0;15;;Cien Días;;;;2.25;;1.075837832;;;;;;;;;;;;;;;;;;;;;;;17.3;;;;;-4.824967;37.295653
NA_CIEN_DÍAS;0;15;;Cien Días;;;;2.18;;1.198176632;;;;;;;;;;;;;;;;;;;;;;;20;;;;;-4.824872;37.295454
NA_CIEN_DÍAS;0;15;;Cien Días;;;;1.35;;1.110115106;;;;;;;;;;;;;;;;;;;;;;;20;;;;;-4.824929;37.295192
NA_CIEN_DÍAS;0;15;;Cien Días;;;;2.28;;1.113884079;;;;;;;;;;;;;;;;;;;;;;;5.7;;;;;-4.825311;37.295259
